signal_time,ticker,symbol,data_source,is_risky,is_short,strategy,outcome,entry_time,entry_price,first_tp_price,sl_price,exit_time,tps_in_signal,tps_hit,duration_h,pnl_usdt,pnl_pct,fees_usdt,fills_json
2026-05-08 15:49:44+00:00,ICP,ICPUSDT,binance,False,False,B_TIERED_FIXED_SL,PARTIAL+TIMEOUT,2026-05-08 16:00:00+00:00,3.161,3.5,2.124,2026-05-12 09:15:00+00:00,3,2,89.25,14.448446694084167,0.14448446694084166,0.42975640620056943,"[{""qty"": 18.98133502056311, ""price"": 3.5, ""time"": ""2026-05-08 20:00:00+00:00"", ""reason"": ""TP1""}, {""qty"": 9.490667510281556, ""price"": 4.0, ""time"": ""2026-05-09 01:30:00+00:00"", ""reason"": ""TP2""}, {""qty"": 3.163555836760521, ""price"": 3.313, ""time"": ""2026-05-12 09:15:00+00:00"", ""reason"": ""TIMEOUT""}]"
2026-05-09 06:28:59+00:00,ENA,ENAUSDT,binance,False,False,B_TIERED_FIXED_SL,FULL_TIMEOUT,2026-05-09 06:30:00+00:00,0.1312,0.15,0.11,2026-05-12 09:15:00+00:00,3,0,74.75,-5.496493902439027,-0.054964939024390265,0.38978658536585364,"[{""qty"": 762.1951219512194, ""price"": 0.1245, ""time"": ""2026-05-12 09:15:00+00:00"", ""reason"": ""TIMEOUT""}]"
2026-05-09 10:04:54+00:00,ARKM,ARKMUSDT,binance,False,False,B_TIERED_FIXED_SL,FULL_TIMEOUT,2026-05-09 10:15:00+00:00,0.1396,0.165,0.1244,2026-05-12 09:15:00+00:00,3,0,71.0,-2.544699140401154,-0.025446991404011538,0.39570200573065906,"[{""qty"": 716.3323782234957, ""price"": 0.1366, ""time"": ""2026-05-12 09:15:00+00:00"", ""reason"": ""TIMEOUT""}]"
2026-05-09 10:16:34+00:00,BIO,BIOUSDT,binance,False,False,B_TIERED_FIXED_SL,PARTIAL+SL,2026-05-09 10:30:00+00:00,0.0501,0.057,0.048,2026-05-11 20:15:00+00:00,3,2,57.75,13.344910179640713,0.13344910179640712,0.42754491017964075,"[{""qty"": 1197.6047904191616, ""price"": 0.057, ""time"": ""2026-05-09 19:15:00+00:00"", ""reason"": ""TP1""}, {""qty"": 598.8023952095808, ""price"": 0.06, ""time"": ""2026-05-09 20:30:00+00:00"", ""reason"": ""TP2""}, {""qty"": 199.6007984031936, ""price"": 0.048, ""time"": ""2026-05-11 20:15:00+00:00"", ""reason"": ""SL""}]"
2026-05-09 10:24:15+00:00,GRASS,CG:grass,coingecko,False,False,B_TIERED_FIXED_SL,FULL_SL,2026-05-09 11:00:13.724000+00:00,0.3794948400113175,0.41,0.3528,2026-05-12 04:00:15.329000+00:00,2,0,65.00044583333333,-7.420240467696579,-0.07420240467696579,0.38593138182826336,"[{""qty"": 263.5081942010535, ""price"": 0.3528, ""time"": ""2026-05-12 04:00:15.329000+00:00"", ""reason"": ""SL""}]"
2026-05-10 16:38:25+00:00,BB,BBUSDT,binance,False,False,B_TIERED_FIXED_SL,FULL_TIMEOUT,2026-05-10 16:45:00+00:00,0.0342,0.04,0.027,2026-05-12 09:15:00+00:00,2,0,40.5,-6.528070175438614,-0.06528070175438615,0.387719298245614,"[{""qty"": 2923.9766081871344, ""price"": 0.0321, ""time"": ""2026-05-12 09:15:00+00:00"", ""reason"": ""TIMEOUT""}]"
2026-05-10 17:42:05+00:00,TURBO,TURBOUSDT,binance,False,False,B_TIERED_FIXED_SL,FULL_TIMEOUT,2026-05-10 17:45:00+00:00,0.001394,0.00146,0.001169,2026-05-12 09:30:00+00:00,3,0,39.75,-6.771736011477781,-0.06771736011477782,0.38723098995695837,"[{""qty"": 71736.01147776183, ""price"": 0.001305, ""time"": ""2026-05-12 09:30:00+00:00"", ""reason"": ""TIMEOUT""}]"
2026-05-10 17:45:28+00:00,BAT,BATUSDT,binance,False,False,B_TIERED_FIXED_SL,FULL_TIMEOUT,2026-05-10 18:00:00+00:00,0.1141,0.127,0.1,2026-05-12 09:30:00+00:00,2,0,39.5,-3.636283961437338,-0.03636283961437338,0.39351446099912357,"[{""qty"": 876.4241893076249, ""price"": 0.1104, ""time"": ""2026-05-12 09:30:00+00:00"", ""reason"": ""TIMEOUT""}]"
2026-05-10 17:14:17+00:00,PIEVERSE,CG:pieverse,coingecko,False,False,B_TIERED_FIXED_SL,FULL_TIMEOUT,2026-05-10 18:00:18.930000+00:00,0.8043128867817092,1.07,0.5915,2026-05-12 11:01:03.964000+00:00,2,0,41.01250944444445,5.277138896186464,0.05277138896186464,0.4113770318560851,"[{""qty"": 124.32972496577695, ""price"": 0.8500663534575856, ""time"": ""2026-05-12 11:01:03.964000+00:00"", ""reason"": ""TIMEOUT""}]"
2026-05-11 15:23:48+00:00,BARD,BARDUSDT,binance,False,False,B_TIERED_FIXED_SL,FULL_TIMEOUT,2026-05-11 15:30:00+00:00,0.2846,0.295,0.27,2026-05-12 09:30:00+00:00,3,0,18.0,-2.1884047786366834,-0.021884047786366833,0.396416022487702,"[{""qty"": 351.3703443429374, ""price"": 0.2795, ""time"": ""2026-05-12 09:30:00+00:00"", ""reason"": ""TIMEOUT""}]"
